,step,train_error,validation_error
0,0,0.9140625,0.9140625
1,50,0.6953125,0.5859375
2,100,0.5625,0.6484375
3,150,0.6484375,0.5859375
4,200,0.5234375,0.6171875
5,250,0.5390625,0.5234375
6,300,0.53125,0.46875
7,350,0.5078125,0.4453125
8,400,0.421875,0.5546875
9,450,0.3671875,0.3828125
10,500,0.4453125,0.4453125
11,550,0.3671875,0.484375
12,600,0.328125,0.3359375
13,650,0.3671875,0.3671875
14,700,0.3984375,0.4921875
15,750,0.2421875,0.40625
16,800,0.3359375,0.3671875
17,850,0.296875,0.40625
18,900,0.328125,0.2578125
19,950,0.2578125,0.3359375
20,1000,0.265625,0.2734375
21,1050,0.3359375,0.296875
22,1100,0.28125,0.265625
23,1150,0.1953125,0.2890625
24,1200,0.234375,0.28125
25,1250,0.3046875,0.3359375
26,1300,0.234375,0.2578125
27,1350,0.3125,0.265625
28,1400,0.234375,0.25
29,1450,0.1640625,0.203125
30,1500,0.2421875,0.2890625
31,1550,0.234375,0.2578125
32,1600,0.25,0.25
33,1650,0.2578125,0.25
34,1700,0.1953125,0.21875
35,1750,0.2421875,0.25
36,1800,0.234375,0.15625
37,1850,0.1953125,0.25
38,1900,0.21875,0.265625
39,1950,0.2734375,0.28125
40,2000,0.203125,0.1484375
41,2050,0.2265625,0.25
42,2100,0.296875,0.15625
43,2150,0.265625,0.1796875
44,2200,0.2265625,0.2421875
45,2250,0.2578125,0.3046875
46,2300,0.15625,0.3046875
47,2350,0.203125,0.234375
48,2400,0.171875,0.25
49,2450,0.15625,0.2421875
50,2500,0.2109375,0.2890625
51,2550,0.1640625,0.1640625
52,2600,0.1640625,0.21875
53,2650,0.203125,0.2109375
54,2700,0.1953125,0.203125
55,2750,0.3203125,0.1875
56,2800,0.2421875,0.234375
57,2850,0.1484375,0.171875
58,2900,0.171875,0.1796875
59,2950,0.1484375,0.2109375
60,3000,0.203125,0.1953125
61,3050,0.15625,0.2265625
62,3100,0.203125,0.2109375
63,3150,0.1640625,0.1875
64,3200,0.2109375,0.234375
65,3250,0.1640625,0.2265625
66,3300,0.234375,0.1796875
67,3350,0.2421875,0.2265625
68,3400,0.1953125,0.2421875
69,3450,0.1328125,0.21875
70,3500,0.1640625,0.1953125
71,3550,0.21875,0.2421875
72,3600,0.109375,0.2265625
73,3650,0.1796875,0.1875
74,3700,0.140625,0.2109375
75,3750,0.1484375,0.296875
76,3800,0.1796875,0.140625
77,3850,0.140625,0.203125
78,3900,0.15625,0.2109375
79,3950,0.1484375,0.2109375
80,4000,0.1875,0.21875
81,4050,0.1796875,0.2421875
82,4100,0.1484375,0.1875
83,4150,0.1640625,0.234375
84,4200,0.171875,0.203125
85,4250,0.1484375,0.2578125
86,4300,0.2265625,0.2578125
87,4350,0.1171875,0.2578125
88,4400,0.1796875,0.203125
89,4450,0.171875,0.171875
90,4500,0.1640625,0.203125
