,step,train_error,validation_error
0,0,0.8828125,0.9375
1,50,0.6484375,0.5703125
2,100,0.609375,0.734375
3,150,0.4765625,0.578125
4,200,0.515625,0.5234375
5,250,0.4453125,0.4765625
6,300,0.46875,0.421875
7,350,0.34375,0.421875
8,400,0.390625,0.4140625
9,450,0.28125,0.390625
10,500,0.3125,0.34375
11,550,0.4140625,0.3515625
12,600,0.3515625,0.328125
13,650,0.296875,0.328125
14,700,0.2265625,0.328125
15,750,0.21875,0.3359375
16,800,0.2734375,0.3203125
17,850,0.25,0.328125
18,900,0.390625,0.3359375
19,950,0.3359375,0.3671875
20,1000,0.2890625,0.2734375
21,1050,0.2734375,0.3203125
22,1100,0.2421875,0.25
23,1150,0.2109375,0.2421875
24,1200,0.265625,0.296875
25,1250,0.2109375,0.2421875
26,1300,0.2109375,0.21875
27,1350,0.1953125,0.1328125
28,1400,0.21875,0.265625
29,1450,0.1953125,0.2265625
30,1500,0.1953125,0.1953125
31,1550,0.140625,0.2421875
32,1600,0.234375,0.1796875
33,1650,0.1875,0.234375
34,1700,0.1953125,0.28125
35,1750,0.1796875,0.2578125
36,1800,0.1484375,0.203125
37,1850,0.1953125,0.2578125
38,1900,0.15625,0.2421875
39,1950,0.1484375,0.2109375
40,2000,0.0859375,0.2265625
41,2050,0.15625,0.21875
42,2100,0.15625,0.15625
43,2150,0.1328125,0.1640625
44,2200,0.078125,0.1796875
45,2250,0.1015625,0.15625
46,2300,0.1484375,0.1796875
47,2350,0.109375,0.1328125
48,2400,0.1015625,0.2109375
49,2450,0.1640625,0.2265625
50,2500,0.1484375,0.1328125
51,2550,0.1640625,0.171875
52,2600,0.171875,0.1796875
53,2650,0.140625,0.1796875
54,2700,0.125,0.265625
55,2750,0.1015625,0.1796875
56,2800,0.0546875,0.125
57,2850,0.125,0.0859375
58,2900,0.140625,0.1953125
59,2950,0.109375,0.09375
60,3000,0.1640625,0.1328125
61,3050,0.171875,0.203125
62,3100,0.1328125,0.1328125
63,3150,0.125,0.15625
64,3200,0.15625,0.1484375
65,3250,0.1171875,0.1640625
66,3300,0.0859375,0.171875
67,3350,0.109375,0.2109375
68,3400,0.078125,0.2265625
69,3450,0.0703125,0.1328125
70,3500,0.2109375,0.1640625
71,3550,0.109375,0.21875
72,3600,0.1640625,0.234375
73,3650,0.125,0.0859375
74,3700,0.15625,0.140625
75,3750,0.140625,0.2109375
76,3800,0.125,0.21875
