,step,train_error,validation_error
0,0,0.9140625,0.84375
1,50,0.6640625,0.734375
2,100,0.6015625,0.5859375
3,150,0.5625,0.640625
4,200,0.5859375,0.5859375
5,250,0.421875,0.578125
6,300,0.53125,0.453125
7,350,0.3828125,0.515625
8,400,0.453125,0.4140625
9,450,0.359375,0.4453125
10,500,0.40625,0.3359375
11,550,0.296875,0.34375
12,600,0.4140625,0.3671875
13,650,0.453125,0.375
14,700,0.3203125,0.40625
15,750,0.328125,0.359375
16,800,0.34375,0.34375
17,850,0.2890625,0.3203125
18,900,0.3046875,0.3203125
19,950,0.2578125,0.3515625
20,1000,0.2890625,0.3046875
21,1050,0.296875,0.3359375
22,1100,0.3359375,0.3125
23,1150,0.3046875,0.2734375
24,1200,0.296875,0.359375
25,1250,0.2265625,0.3125
26,1300,0.28125,0.2421875
27,1350,0.265625,0.25
28,1400,0.171875,0.234375
29,1450,0.21875,0.2890625
30,1500,0.203125,0.171875
31,1550,0.2421875,0.3515625
32,1600,0.265625,0.3125
33,1650,0.21875,0.2265625
34,1700,0.2421875,0.2578125
35,1750,0.2734375,0.2890625
36,1800,0.234375,0.1953125
37,1850,0.1953125,0.28125
38,1900,0.2421875,0.203125
39,1950,0.28125,0.25
40,2000,0.203125,0.203125
41,2050,0.1953125,0.3125
42,2100,0.1875,0.2421875
43,2150,0.1875,0.2734375
44,2200,0.1875,0.2421875
45,2250,0.1953125,0.234375
46,2300,0.203125,0.2109375
47,2350,0.2109375,0.265625
48,2400,0.1328125,0.234375
49,2450,0.2578125,0.2265625
50,2500,0.1640625,0.2421875
51,2550,0.125,0.1875
52,2600,0.2109375,0.1640625
53,2650,0.171875,0.234375
54,2700,0.125,0.15625
55,2750,0.1796875,0.1328125
56,2800,0.171875,0.2265625
57,2850,0.1484375,0.25
58,2900,0.1875,0.1953125
59,2950,0.1953125,0.1953125
60,3000,0.1875,0.234375
61,3050,0.203125,0.234375
62,3100,0.15625,0.2421875
63,3150,0.1328125,0.2421875
64,3200,0.203125,0.1640625
65,3250,0.1640625,0.171875
66,3300,0.109375,0.1796875
67,3350,0.21875,0.265625
68,3400,0.1484375,0.1640625
69,3450,0.171875,0.2109375
70,3500,0.125,0.2109375
71,3550,0.125,0.1953125
72,3600,0.1640625,0.2109375
73,3650,0.15625,0.171875
74,3700,0.1796875,0.1484375
75,3750,0.1328125,0.2421875
76,3800,0.140625,0.21875
77,3850,0.171875,0.2578125
78,3900,0.1484375,0.171875
79,3950,0.1640625,0.2109375
80,4000,0.1484375,0.2109375
81,4050,0.1328125,0.1796875
82,4100,0.125,0.15625
83,4150,0.2265625,0.1796875
84,4200,0.125,0.1796875
85,4250,0.0859375,0.1484375
86,4300,0.140625,0.140625
87,4350,0.1171875,0.171875
88,4400,0.125,0.125
89,4450,0.1171875,0.1796875
90,4500,0.125,0.21875
91,4550,0.1328125,0.1484375
92,4600,0.15625,0.2109375
93,4650,0.125,0.1796875
94,4700,0.1953125,0.109375
95,4750,0.078125,0.078125
96,4800,0.1171875,0.2265625
97,4850,0.171875,0.203125
98,4900,0.0859375,0.1953125
99,4950,0.125,0.21875
100,5000,0.125,0.2109375
101,5050,0.15625,0.1640625
102,5100,0.1953125,0.15625
103,5150,0.1171875,0.1875
104,5200,0.109375,0.265625
105,5250,0.109375,0.1953125
106,5300,0.1015625,0.203125
107,5350,0.1171875,0.1328125
108,5400,0.1640625,0.171875
109,5450,0.0859375,0.171875
110,5500,0.1484375,0.1875
111,5550,0.1015625,0.15625
112,5600,0.1171875,0.21875
113,5650,0.1015625,0.1875
114,5700,0.140625,0.171875
115,5750,0.0859375,0.21875
116,5800,0.125,0.125
117,5850,0.125,0.1484375
118,5900,0.1328125,0.2265625
119,5950,0.109375,0.1484375
120,6000,0.1640625,0.1875
121,6050,0.15625,0.1640625
122,6100,0.0625,0.1328125
123,6150,0.140625,0.1328125
124,6200,0.0703125,0.1953125
125,6250,0.109375,0.203125
126,6300,0.1328125,0.109375
127,6350,0.0859375,0.2578125
128,6400,0.1171875,0.1875
129,6450,0.109375,0.171875
130,6500,0.125,0.1640625
131,6550,0.125,0.1484375
132,6600,0.1171875,0.1328125
133,6650,0.109375,0.21875
134,6700,0.1015625,0.171875
135,6750,0.1484375,0.1015625
136,6800,0.09375,0.171875
137,6850,0.109375,0.1875
138,6900,0.2109375,0.21875
139,6950,0.125,0.1484375
140,7000,0.09375,0.1328125
141,7050,0.0859375,0.125
142,7100,0.09375,0.15625
143,7150,0.15625,0.140625
144,7200,0.078125,0.15625
145,7250,0.1015625,0.1328125
146,7300,0.1328125,0.1328125
147,7350,0.125,0.1484375
148,7400,0.078125,0.2578125
149,7450,0.0859375,0.1015625
150,7500,0.109375,0.2265625
151,7550,0.140625,0.1328125
152,7600,0.046875,0.15625
153,7650,0.0859375,0.1796875
154,7700,0.109375,0.140625
155,7750,0.078125,0.25
156,7800,0.09375,0.1875
157,7850,0.1015625,0.15625
158,7900,0.0859375,0.1171875
159,7950,0.0859375,0.234375
160,8000,0.1171875,0.2109375
161,8050,0.1171875,0.203125
162,8100,0.0625,0.2109375
163,8150,0.109375,0.125
164,8200,0.125,0.109375
165,8250,0.0625,0.21875
166,8300,0.0625,0.1953125
167,8350,0.1171875,0.1015625
168,8400,0.0625,0.125
169,8450,0.1484375,0.1328125
170,8500,0.078125,0.1875
171,8550,0.0625,0.171875
172,8600,0.09375,0.09375
173,8650,0.0625,0.1796875
174,8700,0.1171875,0.125
175,8750,0.078125,0.140625
176,8800,0.09375,0.125
177,8850,0.0859375,0.15625
178,8900,0.015625,0.1484375
179,8950,0.046875,0.1640625
180,9000,0.0859375,0.1171875
181,9050,0.09375,0.1796875
182,9100,0.078125,0.171875
183,9150,0.0859375,0.15625
184,9200,0.1328125,0.1171875
185,9250,0.09375,0.171875
186,9300,0.0859375,0.1328125
187,9350,0.1015625,0.1796875
188,9400,0.078125,0.1484375
189,9450,0.0546875,0.1484375
190,9500,0.0859375,0.203125
191,9550,0.09375,0.1484375
192,9600,0.1015625,0.1953125
193,9650,0.078125,0.1328125
194,9700,0.0859375,0.1484375
195,9750,0.125,0.125
196,9800,0.0703125,0.171875
197,9850,0.0546875,0.1484375
198,9900,0.0703125,0.1953125
199,9950,0.0625,0.1953125
200,10000,0.1015625,0.1796875
201,10050,0.1328125,0.15625
202,10100,0.140625,0.140625
203,10150,0.1015625,0.2265625
204,10200,0.078125,0.140625
205,10250,0.0859375,0.1640625
206,10300,0.125,0.1796875
207,10350,0.1171875,0.15625
208,10400,0.109375,0.234375
209,10450,0.1015625,0.1875
210,10500,0.0859375,0.1953125
211,10550,0.1171875,0.1875
212,10600,0.078125,0.1875
213,10650,0.1015625,0.1796875
214,10700,0.0625,0.1796875
215,10750,0.078125,0.140625
216,10800,0.0703125,0.125
217,10850,0.0390625,0.1640625
218,10900,0.078125,0.1171875
219,10950,0.0859375,0.171875
220,11000,0.109375,0.1640625
221,11050,0.0625,0.1484375
222,11100,0.078125,0.1484375
223,11150,0.0859375,0.21875
224,11200,0.109375,0.1328125
225,11250,0.0703125,0.140625
226,11300,0.0703125,0.1796875
227,11350,0.0859375,0.1640625
228,11400,0.109375,0.1640625
229,11450,0.046875,0.1015625
230,11500,0.09375,0.234375
231,11550,0.1015625,0.140625
232,11600,0.0859375,0.21875
233,11650,0.0859375,0.1953125
234,11700,0.0390625,0.1875
235,11750,0.078125,0.1640625
236,11800,0.109375,0.2265625
237,11850,0.078125,0.171875
238,11900,0.109375,0.140625
239,11950,0.109375,0.125
240,12000,0.0703125,0.109375
241,12050,0.1171875,0.1875
242,12100,0.09375,0.171875
243,12150,0.078125,0.15625
244,12200,0.0703125,0.125
245,12250,0.0546875,0.1484375
246,12300,0.0625,0.1640625
247,12350,0.0859375,0.1328125
248,12400,0.09375,0.1328125
249,12450,0.078125,0.1640625
250,12500,0.078125,0.1640625
251,12550,0.0625,0.15625
252,12600,0.1015625,0.1640625
253,12650,0.078125,0.140625
254,12700,0.0859375,0.125
255,12750,0.1171875,0.1484375
256,12800,0.0546875,0.15625
257,12850,0.09375,0.171875
258,12900,0.078125,0.15625
259,12950,0.09375,0.1796875
260,13000,0.0859375,0.1640625
261,13050,0.078125,0.1484375
262,13100,0.0546875,0.1484375
263,13150,0.0390625,0.15625
264,13200,0.09375,0.1484375
265,13250,0.03125,0.1484375
266,13300,0.0390625,0.1484375
267,13350,0.1484375,0.1953125
268,13400,0.0703125,0.109375
269,13450,0.0859375,0.1796875
270,13500,0.046875,0.171875
271,13550,0.1015625,0.15625
272,13600,0.078125,0.1875
273,13650,0.0546875,0.1328125
274,13700,0.0546875,0.171875
275,13750,0.046875,0.203125
276,13800,0.0703125,0.140625
277,13850,0.1015625,0.1796875
