,step,train_error,validation_error
203,10150,0.0078125,0.109375
204,10200,0.0,0.09375
205,10250,0.015625,0.1015625
206,10300,0.0078125,0.125
207,10350,0.0234375,0.1796875
208,10400,0.0078125,0.09375
209,10450,0.0,0.09375
210,10500,0.0078125,0.125
211,10550,0.0,0.1328125
212,10600,0.0078125,0.1015625
213,10650,0.0078125,0.1015625
214,10700,0.0,0.1328125
215,10750,0.0,0.1171875
216,10800,0.0234375,0.1328125
217,10850,0.0078125,0.1328125
218,10900,0.0078125,0.09375
219,10950,0.0,0.125
220,11000,0.0,0.125
221,11050,0.0,0.1640625
222,11100,0.0,0.1015625
223,11150,0.015625,0.15625
224,11200,0.0,0.109375
225,11250,0.0,0.1484375
226,11300,0.0078125,0.1015625
227,11350,0.0,0.140625
228,11400,0.0078125,0.1015625
229,11450,0.0078125,0.0703125
230,11500,0.0,0.1015625
231,11550,0.015625,0.125
232,11600,0.015625,0.1484375
233,11650,0.0078125,0.1015625
234,11700,0.0,0.09375
235,11750,0.0,0.1015625
236,11800,0.0078125,0.1015625
237,11850,0.0,0.1015625
238,11900,0.0,0.0859375
239,11950,0.0078125,0.078125
240,12000,0.0,0.1484375
241,12050,0.0,0.0859375
242,12100,0.0,0.1015625
243,12150,0.0078125,0.0859375
244,12200,0.0,0.1484375
245,12250,0.0,0.140625
246,12300,0.0,0.0703125
247,12350,0.0,0.1171875
248,12400,0.0,0.09375
249,12450,0.0,0.0703125
250,12500,0.0,0.109375
251,12550,0.0078125,0.0859375
252,12600,0.0078125,0.1484375
253,12650,0.0,0.109375
254,12700,0.0,0.0625
255,12750,0.015625,0.09375
256,12800,0.0078125,0.1015625
257,12850,0.0078125,0.0859375
258,12900,0.0078125,0.0859375
259,12950,0.0,0.0859375
260,13000,0.0078125,0.078125
261,13050,0.0,0.1484375
262,13100,0.0,0.0703125
263,13150,0.0,0.1171875
264,13200,0.015625,0.125
265,13250,0.0,0.078125
266,13300,0.0,0.0859375
267,13350,0.0,0.09375
268,13400,0.0,0.1328125
269,13450,0.0078125,0.1171875
270,13500,0.0,0.0859375
271,13550,0.0,0.109375
272,13600,0.0,0.0703125
273,13650,0.0,0.0859375
274,13700,0.0,0.1328125
275,13750,0.0,0.109375
276,13800,0.0,0.0859375
277,13850,0.0,0.0703125
278,13900,0.0,0.0625
279,13950,0.0,0.0625
280,14000,0.0078125,0.109375
281,14050,0.0078125,0.0859375
282,14100,0.0,0.0546875
283,14150,0.015625,0.109375
284,14200,0.0,0.0859375
285,14250,0.0,0.0703125
286,14300,0.0078125,0.125
287,14350,0.0,0.1015625
288,14400,0.0,0.1171875
289,14450,0.0,0.140625
290,14500,0.0,0.09375
291,14550,0.0,0.0625
292,14600,0.0,0.1328125
293,14650,0.0078125,0.09375
294,14700,0.0078125,0.1328125
295,14750,0.0,0.0859375
296,14800,0.0,0.1015625
297,14850,0.0,0.15625
298,14900,0.0078125,0.1171875
299,14950,0.0,0.1015625
300,15000,0.0078125,0.09375
301,15050,0.0,0.09375
302,15100,0.015625,0.0625
303,15150,0.0,0.1484375
304,15200,0.0,0.09375
305,15250,0.0,0.1015625
306,15300,0.0,0.125
307,15350,0.0,0.0859375
308,15400,0.0,0.1328125
309,15450,0.0,0.09375
310,15500,0.0,0.09375
311,15550,0.0,0.1328125
312,15600,0.0,0.078125
313,15650,0.015625,0.09375
314,15700,0.0,0.109375
315,15750,0.0,0.09375
