,step,train_error,validation_error
202,10100,0.015625,0.125
203,10150,0.0078125,0.1171875
204,10200,0.0078125,0.1015625
205,10250,0.0078125,0.1328125
206,10300,0.0,0.140625
207,10350,0.0,0.0703125
208,10400,0.0234375,0.09375
209,10450,0.0078125,0.09375
210,10500,0.0078125,0.1015625
211,10550,0.0078125,0.078125
212,10600,0.0078125,0.125
213,10650,0.0234375,0.0859375
214,10700,0.0078125,0.1171875
215,10750,0.0,0.109375
216,10800,0.0078125,0.1328125
217,10850,0.0390625,0.0859375
218,10900,0.0078125,0.09375
219,10950,0.0078125,0.125
220,11000,0.0,0.125
221,11050,0.0078125,0.1171875
222,11100,0.0,0.09375
223,11150,0.0078125,0.1015625
224,11200,0.0,0.0703125
225,11250,0.0234375,0.1171875
226,11300,0.0078125,0.1640625
227,11350,0.015625,0.1328125
228,11400,0.015625,0.125
229,11450,0.0,0.125
230,11500,0.015625,0.078125
231,11550,0.0,0.078125
232,11600,0.015625,0.109375
233,11650,0.0,0.078125
234,11700,0.0078125,0.09375
235,11750,0.015625,0.1171875
236,11800,0.0,0.046875
237,11850,0.0234375,0.1484375
238,11900,0.015625,0.09375
239,11950,0.0078125,0.09375
240,12000,0.0078125,0.140625
241,12050,0.0,0.09375
242,12100,0.0078125,0.1328125
243,12150,0.0078125,0.09375
244,12200,0.0078125,0.0703125
245,12250,0.015625,0.1484375
246,12300,0.0,0.09375
247,12350,0.0,0.1171875
248,12400,0.0,0.0390625
249,12450,0.0,0.1171875
250,12500,0.0234375,0.0625
251,12550,0.0234375,0.1171875
252,12600,0.0,0.125
253,12650,0.0078125,0.09375
254,12700,0.0,0.1171875
255,12750,0.015625,0.1015625
256,12800,0.015625,0.125
257,12850,0.015625,0.09375
258,12900,0.015625,0.09375
259,12950,0.0,0.1015625
260,13000,0.0078125,0.125
261,13050,0.0078125,0.125
262,13100,0.0,0.0703125
263,13150,0.0,0.1484375
264,13200,0.0078125,0.046875
265,13250,0.0078125,0.1484375
266,13300,0.0078125,0.125
267,13350,0.0078125,0.125
268,13400,0.0,0.109375
269,13450,0.0390625,0.1171875
270,13500,0.0,0.09375
271,13550,0.0,0.0859375
272,13600,0.0,0.0859375
273,13650,0.0,0.1171875
274,13700,0.0,0.09375
275,13750,0.0078125,0.15625
276,13800,0.03125,0.125
277,13850,0.0078125,0.140625
278,13900,0.0078125,0.0703125
279,13950,0.0,0.1171875
280,14000,0.0,0.15625
281,14050,0.0078125,0.109375
282,14100,0.0,0.1328125
283,14150,0.0,0.109375
284,14200,0.0,0.140625
285,14250,0.0,0.0625
286,14300,0.0078125,0.0859375
287,14350,0.015625,0.109375
288,14400,0.0078125,0.09375
289,14450,0.0078125,0.0859375
290,14500,0.0078125,0.1015625
291,14550,0.0,0.1015625
292,14600,0.0234375,0.09375
293,14650,0.0,0.1015625
294,14700,0.0078125,0.109375
295,14750,0.0,0.1171875
296,14800,0.0078125,0.1015625
297,14850,0.0,0.1171875
298,14900,0.0,0.1015625
299,14950,0.0,0.109375
300,15000,0.0078125,0.0859375
301,15050,0.0,0.09375
302,15100,0.0,0.109375
303,15150,0.0,0.1015625
304,15200,0.0078125,0.125
305,15250,0.0078125,0.125
306,15300,0.0078125,0.125
307,15350,0.0,0.1171875
308,15400,0.0,0.125
309,15450,0.0234375,0.109375
310,15500,0.0,0.109375
311,15550,0.0078125,0.09375
312,15600,0.0,0.0859375
313,15650,0.0,0.140625
314,15700,0.0,0.1015625
315,15750,0.0,0.09375
316,15800,0.0,0.1171875
317,15850,0.0078125,0.1484375
318,15900,0.0,0.1015625
319,15950,0.0,0.1015625
320,16000,0.0078125,0.1484375
321,16050,0.0,0.1171875
322,16100,0.0,0.0859375
323,16150,0.0,0.1328125
324,16200,0.0078125,0.0859375
325,16250,0.015625,0.0859375
326,16300,0.0078125,0.09375
327,16350,0.0078125,0.1015625
328,16400,0.0078125,0.078125
329,16450,0.0078125,0.09375
330,16500,0.0,0.1328125
331,16550,0.0,0.0703125
332,16600,0.0,0.1171875
333,16650,0.0,0.078125
334,16700,0.0,0.0859375
335,16750,0.0,0.09375
336,16800,0.0,0.078125
337,16850,0.015625,0.0390625
338,16900,0.0,0.109375
339,16950,0.0,0.109375
340,17000,0.015625,0.125
341,17050,0.015625,0.1171875
342,17100,0.0078125,0.1171875
343,17150,0.0,0.1953125
344,17200,0.0078125,0.109375
345,17250,0.0,0.1171875
346,17300,0.0078125,0.140625
347,17350,0.0078125,0.1015625
348,17400,0.0,0.1015625
349,17450,0.0,0.125
350,17500,0.0,0.109375
351,17550,0.0,0.09375
352,17600,0.0,0.109375
353,17650,0.015625,0.1484375
354,17700,0.0078125,0.140625
355,17750,0.0234375,0.1171875
356,17800,0.0078125,0.1328125
357,17850,0.0,0.1171875
358,17900,0.0,0.0625
359,17950,0.0,0.140625
360,18000,0.0078125,0.09375
361,18050,0.0078125,0.171875
362,18100,0.0078125,0.09375
363,18150,0.0,0.1171875
364,18200,0.0078125,0.1015625
365,18250,0.015625,0.140625
366,18300,0.0,0.140625
367,18350,0.0078125,0.171875
368,18400,0.015625,0.125
369,18450,0.0,0.09375
370,18500,0.0078125,0.140625
371,18550,0.0,0.140625
372,18600,0.0,0.078125
373,18650,0.0078125,0.125
374,18700,0.0078125,0.1328125
375,18750,0.0,0.140625
376,18800,0.0078125,0.0859375
377,18850,0.0,0.078125
378,18900,0.0,0.09375
379,18950,0.0,0.046875
380,19000,0.015625,0.125
