,step,train_error,validation_error
0,0,0.9140625,0.90625
1,50,0.6640625,0.7734375
2,100,0.609375,0.6875
3,150,0.640625,0.5703125
4,200,0.5546875,0.5859375
5,250,0.484375,0.5234375
6,300,0.40625,0.46875
7,350,0.3984375,0.4921875
8,400,0.421875,0.3671875
9,450,0.390625,0.453125
10,500,0.4453125,0.3984375
11,550,0.3671875,0.296875
12,600,0.2578125,0.296875
13,650,0.296875,0.3203125
14,700,0.34375,0.3828125
15,750,0.359375,0.34375
16,800,0.28125,0.3046875
17,850,0.3203125,0.3515625
18,900,0.2734375,0.3203125
19,950,0.2421875,0.296875
20,1000,0.1875,0.2734375
21,1050,0.265625,0.328125
22,1100,0.328125,0.265625
23,1150,0.3125,0.203125
24,1200,0.234375,0.359375
25,1250,0.28125,0.3046875
26,1300,0.265625,0.3125
27,1350,0.2109375,0.2265625
28,1400,0.21875,0.28125
29,1450,0.265625,0.3046875
30,1500,0.2265625,0.2421875
31,1550,0.3046875,0.265625
32,1600,0.2578125,0.3359375
33,1650,0.234375,0.234375
34,1700,0.1953125,0.2265625
35,1750,0.1953125,0.25
36,1800,0.21875,0.1953125
37,1850,0.234375,0.3046875
38,1900,0.2578125,0.2109375
39,1950,0.1796875,0.234375
40,2000,0.1796875,0.21875
41,2050,0.21875,0.1953125
42,2100,0.25,0.2109375
43,2150,0.1875,0.28125
44,2200,0.15625,0.2265625
45,2250,0.15625,0.1875
46,2300,0.1796875,0.203125
47,2350,0.21875,0.1953125
48,2400,0.2109375,0.203125
49,2450,0.1796875,0.203125
50,2500,0.234375,0.2109375
51,2550,0.1875,0.2109375
52,2600,0.1796875,0.25
53,2650,0.1953125,0.1875
54,2700,0.171875,0.1640625
55,2750,0.1640625,0.15625
56,2800,0.2421875,0.1796875
57,2850,0.1640625,0.2265625
58,2900,0.15625,0.265625
59,2950,0.1953125,0.1875
60,3000,0.15625,0.2578125
61,3050,0.171875,0.1953125
62,3100,0.109375,0.203125
63,3150,0.171875,0.1875
64,3200,0.1171875,0.1953125
65,3250,0.140625,0.2265625
66,3300,0.1484375,0.2265625
67,3350,0.1171875,0.1953125
68,3400,0.140625,0.2265625
69,3450,0.1484375,0.171875
70,3500,0.171875,0.2109375
71,3550,0.1328125,0.234375
72,3600,0.140625,0.2578125
73,3650,0.1640625,0.171875
74,3700,0.125,0.203125
75,3750,0.1171875,0.2109375
76,3800,0.1484375,0.171875
77,3850,0.1171875,0.234375
78,3900,0.109375,0.2578125
79,3950,0.125,0.171875
80,4000,0.125,0.1953125
81,4050,0.125,0.1796875
82,4100,0.125,0.171875
83,4150,0.15625,0.203125
84,4200,0.171875,0.21875
85,4250,0.203125,0.1953125
86,4300,0.1328125,0.140625
87,4350,0.171875,0.2265625
88,4400,0.1953125,0.171875
89,4450,0.15625,0.1328125
90,4500,0.1171875,0.1796875
91,4550,0.1328125,0.1484375
92,4600,0.125,0.1484375
93,4650,0.0859375,0.203125
94,4700,0.1640625,0.2109375
95,4750,0.1328125,0.171875
96,4800,0.15625,0.1640625
97,4850,0.1484375,0.109375
98,4900,0.140625,0.15625
99,4950,0.140625,0.265625
100,5000,0.171875,0.171875
101,5050,0.15625,0.15625
102,5100,0.125,0.203125
103,5150,0.1640625,0.1796875
104,5200,0.1328125,0.1953125
105,5250,0.1640625,0.1875
106,5300,0.171875,0.140625
107,5350,0.15625,0.1796875
108,5400,0.1171875,0.1484375
109,5450,0.1640625,0.171875
110,5500,0.1328125,0.1875
111,5550,0.1484375,0.2265625
112,5600,0.1015625,0.15625
113,5650,0.125,0.171875
114,5700,0.1328125,0.2734375
115,5750,0.1484375,0.21875
116,5800,0.125,0.1796875
117,5850,0.109375,0.1953125
118,5900,0.2109375,0.15625
119,5950,0.125,0.1796875
120,6000,0.1328125,0.125
121,6050,0.15625,0.1796875
122,6100,0.15625,0.1484375
123,6150,0.1484375,0.25
124,6200,0.1015625,0.203125
125,6250,0.1328125,0.15625
126,6300,0.0859375,0.140625
127,6350,0.1015625,0.1171875
128,6400,0.09375,0.1640625
129,6450,0.1015625,0.15625
130,6500,0.140625,0.15625
131,6550,0.1015625,0.171875
132,6600,0.109375,0.1796875
133,6650,0.1171875,0.1015625
134,6700,0.109375,0.15625
135,6750,0.171875,0.2109375
136,6800,0.078125,0.1796875
137,6850,0.0859375,0.1484375
138,6900,0.140625,0.1640625
139,6950,0.09375,0.171875
140,7000,0.1328125,0.2421875
141,7050,0.1328125,0.1875
142,7100,0.1171875,0.15625
143,7150,0.1171875,0.1484375
144,7200,0.1328125,0.1640625
145,7250,0.1015625,0.1875
146,7300,0.109375,0.1484375
147,7350,0.1171875,0.171875
148,7400,0.1640625,0.1875
149,7450,0.078125,0.15625
150,7500,0.046875,0.1484375
151,7550,0.1015625,0.2421875
152,7600,0.078125,0.140625
153,7650,0.140625,0.21875
154,7700,0.0625,0.1796875
155,7750,0.1328125,0.0859375
156,7800,0.078125,0.21875
157,7850,0.1015625,0.140625
158,7900,0.0859375,0.1640625
159,7950,0.1640625,0.15625
160,8000,0.15625,0.125
161,8050,0.203125,0.0859375
162,8100,0.1328125,0.140625
163,8150,0.0703125,0.1484375
164,8200,0.0859375,0.2265625
165,8250,0.0859375,0.1796875
166,8300,0.0703125,0.171875
167,8350,0.125,0.1484375
168,8400,0.109375,0.109375
169,8450,0.09375,0.1640625
170,8500,0.0859375,0.1875
171,8550,0.1171875,0.203125
172,8600,0.125,0.171875
173,8650,0.0859375,0.1484375
174,8700,0.0703125,0.15625
175,8750,0.1328125,0.15625
176,8800,0.09375,0.125
177,8850,0.046875,0.1171875
178,8900,0.1328125,0.140625
179,8950,0.109375,0.0859375
180,9000,0.0859375,0.125
181,9050,0.0859375,0.21875
182,9100,0.1171875,0.1796875
183,9150,0.09375,0.140625
184,9200,0.1484375,0.1796875
185,9250,0.1328125,0.1484375
186,9300,0.046875,0.125
187,9350,0.09375,0.1484375
188,9400,0.125,0.1484375
189,9450,0.0859375,0.1640625
190,9500,0.09375,0.1953125
191,9550,0.046875,0.1875
192,9600,0.0625,0.140625
193,9650,0.0546875,0.1484375
194,9700,0.1484375,0.1953125
195,9750,0.09375,0.1796875
196,9800,0.0703125,0.1484375
197,9850,0.109375,0.15625
198,9900,0.0546875,0.109375
199,9950,0.09375,0.203125
200,10000,0.09375,0.2109375
201,10050,0.1171875,0.1328125
202,10100,0.03125,0.171875
203,10150,0.09375,0.1640625
204,10200,0.09375,0.1875
205,10250,0.0859375,0.140625
206,10300,0.0703125,0.109375
207,10350,0.078125,0.140625
208,10400,0.1328125,0.1171875
209,10450,0.0703125,0.1484375
210,10500,0.0859375,0.1875
211,10550,0.109375,0.1640625
212,10600,0.1015625,0.15625
213,10650,0.125,0.1640625
214,10700,0.0859375,0.15625
215,10750,0.09375,0.171875
216,10800,0.125,0.1796875
217,10850,0.0859375,0.1484375
218,10900,0.0859375,0.171875
219,10950,0.1328125,0.1875
220,11000,0.0546875,0.171875
221,11050,0.0859375,0.1875
222,11100,0.09375,0.171875
223,11150,0.125,0.1171875
224,11200,0.078125,0.109375
225,11250,0.0625,0.125
226,11300,0.0859375,0.1328125
227,11350,0.046875,0.1953125
228,11400,0.09375,0.15625
229,11450,0.078125,0.0859375
230,11500,0.0546875,0.109375
231,11550,0.0625,0.1640625
232,11600,0.0703125,0.140625
233,11650,0.078125,0.171875
234,11700,0.046875,0.171875
235,11750,0.109375,0.1015625
236,11800,0.0859375,0.171875
237,11850,0.078125,0.21875
