,step,train_error,validation_error
202,10100,0.015625,0.1484375
203,10150,0.0546875,0.1015625
204,10200,0.0625,0.109375
205,10250,0.0390625,0.0859375
206,10300,0.0625,0.125
207,10350,0.03125,0.0546875
208,10400,0.0390625,0.125
209,10450,0.046875,0.0859375
210,10500,0.0234375,0.109375
211,10550,0.0078125,0.0546875
